repo,sha,author,datetime,message,date,time
rstats-db/bigrquery,04683b8cf7ed90d5a79efb8a167ec8f9c0c2b83b,hadley,2017-04-21T20:45:57Z,Don't need explicit slashes?,2017-04-21,2016-01-01T21:45:00Z
rstats-db/bigrquery,30bc4a83d14d0d92104840f59beca1a0f6418beb,hadley,2017-04-21T14:05:20Z,Add encrypted service token,2017-04-21,2016-01-01T15:05:00Z
rstats-db/bigrquery,63c066fe7a68c4affcba66e44476b7657d6cbb1e,hadley,2017-04-21T13:37:24Z,Supress roundtrip_numeric_special test,2017-04-21,2016-01-01T14:37:00Z
rstats-db/bigrquery,dc3882a7caa13542c5ade80a844ed9e76371084f,hadley,2017-04-21T13:36:57Z,WS,2017-04-21,2016-01-01T14:36:00Z
rstats-db/bigrquery,32029eae2d174ef025bdff165b66d2ee18a1f405,hadley,2017-04-21T13:36:32Z,Pass on quiet in dbWriteTable,2017-04-21,2016-01-01T14:36:00Z
rstats-db/bigrquery,23136176a92be7d2e41b601531186b964831cd98,hadley,2017-04-21T13:05:26Z,"Simplifying DBI test infrastructre

* Moved tweaks and context to a helper
* Made quiet and page_size connection options",2017-04-21,2016-01-01T14:05:00Z
rstats-db/bigrquery,01c9b52d91359da48e962441117320a0cbca0e33,hadley,2017-04-21T12:52:32Z,Convert null to NA in C,2017-04-21,2016-01-01T13:52:00Z
rstats-db/bigrquery,6291d30d5119b0577884d837efd5b6629a7744fe,hadley,2017-04-20T22:11:52Z,Update docs,2017-04-20,2016-01-01T23:11:00Z
rstats-db/bigrquery,eebf747e260c557689b3599cfa06f427e05e3e5f,hadley,2017-04-20T21:01:07Z,"Supply dbDataType method

Update docs",2017-04-20,2016-01-01T22:01:00Z
rstats-db/bigrquery,9066b13d2f594e4ffc3522126eadbe6734f610ce,hadley,2017-04-20T20:44:08Z,"Set UA

Fixes #151

@craigcitro can you take a quick look please?",2017-04-20,2016-01-01T21:44:00Z
rstats-db/bigrquery,a594893cc107eb4ee629d355fb05742a4232cc4b,hadley,2017-04-20T20:40:10Z,Bunch of dplyr SQL updates,2017-04-20,2016-01-01T21:40:00Z
rstats-db/bigrquery,0a86da1ef9cbb368996b2b65ceca0f005998dbe7,hadley,2017-04-20T19:33:30Z,Add use_legacy_sql argument to connection,2017-04-20,2016-01-01T20:33:00Z
rstats-db/bigrquery,74f5a83ead44f072582fa7396e6a902b7e125177,hadley,2017-04-20T16:19:31Z,"Avoid built-time dep on readr funtions

Move hms to suggests",2017-04-20,2016-01-01T17:19:00Z
rstats-db/bigrquery,65438c24f955e567bfa51b436c94669083ed20b8,hadley,2017-04-20T16:07:58Z,Allow travis to pass with missing suggests,2017-04-20,2016-01-01T17:07:00Z
rstats-db/bigrquery,14e7612f7bfd67662cb50f7968c8abb331a9d66e,hadley,2017-04-20T15:58:22Z,"First pass at dplyr conversion

Fixes #48",2017-04-20,2016-01-01T16:58:00Z
hadley/dbplyr,cbd42179fd52bba9cbd3e1f299515061684c8776,hadley,2017-04-20T15:34:50Z,"Export tbl_lazy, lazy_frame and src simulators",2017-04-20,2016-01-01T16:34:00Z
rstats-db/bigrquery,40b72af3193252063e01689a282a2cd196b08544,hadley,2017-04-20T15:22:00Z,Default to quiet if not interactive,2017-04-20,2016-01-01T16:22:00Z
rstats-db/bigrquery,49bfe9cf6274c3372000eeb23f2c77b0799af9b0,hadley,2017-04-20T14:39:29Z,Tweak progress delay,2017-04-20,2016-01-01T15:39:00Z
rstats-db/bigrquery,6a3f532ae88e5c54202d2c8173d38738dcd490c1,hadley,2017-04-20T14:15:29Z,Print bytes billed,2017-04-20,2016-01-01T15:15:00Z
rstats-db/bigrquery,e15f6df37527304c1549a9d9c0a06364481bcd44,hadley,2017-04-20T13:53:59Z,Remove sampledata from projects list,2017-04-20,2016-01-01T14:53:00Z
rstats-db/bigrquery,08b79afcb9675bacd0277c61b81209bbdb76879e,hadley,2017-04-20T13:51:07Z,Streamline data extract,2017-04-20,2016-01-01T14:51:00Z
rstats-db/bigrquery,a1dcd19188463f2e8d41a096dd382cab0d2b4f6e,hadley,2017-04-20T13:07:22Z,Another extraneous browser() :(,2017-04-20,2016-01-01T14:07:00Z
rstats-db/bigrquery,22c68269fc963a23d5e551323271692f4df50f42,hadley,2017-04-20T13:06:32Z,File reorganisation,2017-04-20,2016-01-01T14:06:00Z
rstats-db/bigrquery,16113f923e2421d16c9e499684c9afec38364a96,hadley,2017-04-20T13:05:35Z,Unify progress bars,2017-04-20,2016-01-01T14:05:00Z
rstats-db/bigrquery,8b7dca7eb15b8f079b2c98fdd7bea29f8773dcd1,hadley,2017-04-19T23:04:30Z,"Upload as json instead of csv

Fixes #97. Fixes #45. Fixes #98.",2017-04-19,2016-01-02T00:04:00Z
rstats-db/bigrquery,d4159a507b9be7a840b2e817bb48a1d892f9339b,hadley,2017-04-19T21:46:11Z,"Add progress bar to list_tabledata

Fixes #100",2017-04-19,2016-01-01T22:46:00Z
rstats-db/bigrquery,f4856ab3cb06232209d9051cca73f2f37fe08285,hadley,2017-04-19T20:27:08Z,Code/doc tweaks,2017-04-19,2016-01-01T21:27:00Z
hadley/dbplyr,12ba3cedd551b04b13245ffe7bbc2945c5662ea8,hadley,2017-04-19T19:52:41Z,"Merge pull request #6 from lionel-/api-rlang-update

rlang update",2017-04-19,2016-01-01T20:52:00Z
rstats-db/bigrquery,71e1ffea256e1c1a9829c69c75d89c47d3b7c7fc,hadley,2017-04-19T18:13:26Z,WS,2017-04-19,2016-01-01T19:13:00Z
rstats-db/bigrquery,2bd7c72766895542b29a184ca9fc7bf605833891,hadley,2017-04-19T16:59:08Z,Also pass ... along in query_exec,2017-04-19,2016-01-01T17:59:00Z
rstats-db/bigrquery,690336f99e92405c7a13b5a48c00d031be716fe2,hadley,2017-04-19T16:56:45Z,"Pass ... along to the body of POST requests

Fixes #149",2017-04-19,2016-01-01T17:56:00Z
rstats-db/bigrquery,c0fd1f3289acb8c06899ea531b4d039a87436d24,hadley,2017-04-19T16:42:27Z,Fix partial match issue,2017-04-19,2016-01-01T17:42:00Z
rstats-db/bigrquery,44cf75cc231e5c1293e34eb68b62a156f05f65bd,hadley,2017-04-19T16:19:41Z,"bq_url helper function

Fixes #79",2017-04-19,2016-01-01T17:19:00Z
rstats-db/bigrquery,4dbc2ee9f9696861e494af1a8df2008781ff40b9,hadley,2017-04-19T14:33:37Z,"Paginate list_tables

Fixes #141

And fix a bunch of R CMD check problems :(",2017-04-19,2016-01-01T15:33:00Z
rstats-db/bigrquery,89ee8b987a9460403b018cef3450acc4a4b460b9,hadley,2017-04-19T14:28:34Z,Use camelCase in body,2017-04-19,2016-01-01T15:28:00Z
rstats-db/bigrquery,eddf43668bed4c8549e8189eddda0b526b9cb4b4,hadley,2017-04-19T14:19:27Z,"Paginate list_tables

Fixes #108",2017-04-19,2016-01-01T15:19:00Z
rstats-db/bigrquery,94c75ea59176da2277fb6575e04ee7a77bec7a3d,hadley,2017-04-19T14:10:24Z,Add insert_table,2017-04-19,2016-01-01T15:10:00Z
rstats-db/bigrquery,60b754b53b68257bc81d2009d7fddd9b38d9b474,hadley,2017-04-19T13:31:29Z,Use markdown in roxygen2 docs,2017-04-19,2016-01-01T14:31:00Z
hadley/dbplyr,236aff8047ce937dc230f9a5082a9c5c7af8922b,hadley,2017-04-19T12:02:33Z,"Merge pull request #5 from austenhead/sql_vignette_additions

Sql vignette additions",2017-04-19,2016-01-01T13:02:00Z
rstats-db/bigrquery,cfc4a33cf9467c6d6dab53b7da3802396581b49a,hadley,2017-04-18T19:19:54Z,"Use vapply() instead of lapply() + unlist()

Fixes #104",2017-04-18,2016-01-01T20:19:00Z
rstats-db/bigrquery,a3bb7e23b304ba03a8d84bc66f687678168c8090,hadley,2017-04-18T19:17:30Z,"Remove unneeded line

Fixes #50",2017-04-18,2016-01-01T20:17:00Z
rstats-db/bigrquery,247af041b60a7e4e5f16a5eb30af713309661ec7,hadley,2017-04-18T19:07:36Z,Add new date time types,2017-04-18,2016-01-01T20:07:00Z
rstats-db/bigrquery,0efb9c37c8026e2cf677bdd5f820a69ac3e7fe88,hadley,2017-04-18T19:06:17Z,"Elimiate browser()

OOPS",2017-04-18,2016-01-01T20:06:00Z
rstats-db/bigrquery,8fb832ad4e8e2f4429991d9ddf4ad9d1ee1102f5,hadley,2017-04-18T19:05:36Z,Standardise code style,2017-04-18,2016-01-01T20:05:00Z
rstats-db/bigrquery,8d2bbd91ef740151b09fe489a0c347486fe7fb58,hadley,2017-04-18T18:57:36Z,"Rename useLegacySql to use_legacy_sql

And add news bullet. #124",2017-04-18,2016-01-01T19:57:00Z
rstats-db/bigrquery,8b8599d436fa5b6da5cb90d78924530faa93394c,hadley,2017-04-18T16:05:25Z,"Improve date/time support

Convert date, time, and datetime classes. Use doubles for timestamp.

Fixes #128. Closes #129. Fixes #35",2017-04-18,2016-01-01T17:05:00Z
rstudio/rticles,b99374e63f34f9b94467aed279468eac5d2d3890,hadley,2017-04-18T14:57:39Z,"Add test for asa_article

And refactor test_format",2017-04-18,2016-01-01T15:57:00Z
